MATURITY,OFFERING_AMT,OFFERING_DATE,COMPLETE_CUSIP,AMOUNT_OUTSTANDING,COUPON
2031-07-16,1800000,1999-07-09,345370CA6,1069689,7.45
2033-07-15,1000000,1993-11-24,88731EAJ9,1000000,8.375
2030-06-15,3500000,2000-06-28,25156PAC7,3500000,8.75
2030-09-15,1250000,2000-09-14,879385AD4,1250000,8.25
2030-12-15,2800000,2000-12-05,111021AE1,2670000,9.625
2031-01-18,1500000,2001-01-11,233835AQ0,1500000,8.5
2032-01-15,1100000,2002-01-08,28368EAE6,1005204,7.75
2032-03-15,5000000,2002-03-13,36962GXZ2,1323866,6.75
2032-04-01,1000000,2002-03-27,617446HD4,984550,7.25
2032-06-15,1000000,2002-05-30,172967BL4,1000000,6.625
2032-03-15,1998000,2002-05-06,852060AT9,1998000,8.75
2032-11-15,1000000,2002-11-04,904764AH0,1000000,5.9
2033-02-15,2000000,2003-02-06,38141GCU6,1037316,6.125
2033-03-15,750000,2003-03-12,20030NAC5,750000,7.05
2033-12-15,750000,2003-12-03,013716AU9,750000,6.125
2034-02-01,750000,2003-12-11,983024AG5,750000,6.5
2034-02-15,2750000,2004-02-06,38143VAA7,1130000,6.345
2034-06-15,400000,2004-05-26,59156RAJ7,750000,6.375
2035-06-15,750000,2005-06-06,20030NAF8,750000,5.65
2035-06-15,1000000,2005-06-20,59156RAM0,1000000,5.7
2035-08-01,800000,2005-07-27,929903AM4,800000,5.5
2035-09-01,2500000,2005-08-24,931142CB7,1332756,5.25
2036-03-15,850000,2006-02-27,91324PAR3,850000,5.8
2036-05-02,900000,2006-04-26,404280AG4,1221457,6.5
2036-06-15,800000,2006-06-06,00817YAF5,770902,6.625
2036-06-20,2000000,2006-06-09,87938WAC7,2000000,7.045
2036-04-01,1696990,2006-09-11,59562VAM9,1666939,6.125
2036-10-15,1250000,2006-10-26,06050TJZ6,1250000,6
2036-12-14,750000,2006-12-11,74432QAQ8,750000,5.7
2036-12-16,3000000,2006-12-14,437076AS1,3000000,5.875
2037-01-29,2000000,2007-01-22,59022CAJ2,2000000,6.11
2037-02-01,1500000,2007-01-24,92976GAG6,982598,5.85
2037-02-27,1200000,2007-02-20,92857WAQ3,1260000,6.15
2038-03-15,1100000,2007-03-12,136385AL5,1100000,6.25
2037-04-01,2000000,2007-03-22,983024AN0,2000000,5.95
2037-05-11,800000,2007-05-08,171232AQ4,800000,6
2037-06-15,800000,2007-05-23,89417EAD1,800000,6.25
2037-06-15,1500000,2007-06-05,91913YAL4,1500000,6.625
2038-01-15,550000,2007-06-18,494550AW6,1175000,6.95
2037-08-15,1000000,2007-08-13,478160AN4,1000000,5.95
2037-08-15,2250000,2007-08-17,931142CK7,1037829,6.5
2037-09-15,750000,2007-09-05,404280AH2,1514640,6.5
2037-09-15,2750000,2007-09-05,046353AD0,2750000,6.45
2037-10-01,2500000,2007-09-26,38141GFD1,5545000,6.75
2037-10-15,1000000,2007-10-02,89352HAD1,1000000,6.2
2037-10-15,850000,2007-10-15,58013MEC4,850000,6.3
2037-05-01,1500000,2007-09-25,88732JAJ7,1500000,6.55
2038-01-15,2500000,2007-11-30,92976GAJ0,1413633,6.6
2038-01-14,4000000,2008-01-08,36962G3P7,853448,5.875
2038-01-15,1500000,2008-01-10,911312AJ5,1500000,6.2
2038-02-15,1100000,2008-02-04,91324PBK7,1100000,6.875
2038-03-01,1000000,2008-02-26,316773CH1,1000000,8.25
2038-03-01,750000,2008-02-26,58013MEF7,750000,6.3
2038-04-15,1250000,2008-04-02,68389XAE5,1250000,6.5
2038-04-15,1500000,2008-04-08,931142CM3,803185,6.2
2038-05-15,2750000,2008-05-06,377372AE7,2750000,6.375
2038-05-14,1750000,2008-05-07,59023VAA8,1750000,7.75
2038-05-16,1500000,2008-05-13,718172AC3,1500000,6.375
2038-05-15,2500000,2008-05-16,46625HHF0,2500000,6.4
2038-06-01,1500000,2008-05-19,404280AJ8,818461,6.8
2039-06-01,750000,2008-06-03,86722TAB8,750000,6.85
2038-06-15,1000000,2008-06-11,341099CL1,1000000,6.4
2038-07-01,1500000,2008-06-16,88732JAN8,1500000,7.3
2037-10-15,750000,2008-05-12,03040WAD7,750000,6.593
2038-09-15,800000,2008-09-09,406216AW1,800000,6.7
2039-01-15,1250000,2009-01-06,8935268Z9,1250000,7.625
2039-02-01,2250000,2009-01-29,20825CAQ7,1587744,6.5
2039-02-15,2000000,2009-02-09,17275RAD4,2000000,5.9
2039-09-15,1000000,2009-03-10,406216AY7,1000000,7.45
2039-03-15,2500000,2009-03-17,717081CY7,2500000,7.2
2039-06-15,1500000,2009-06-24,88732JAU2,1500000,6.75
2039-07-08,1250000,2009-06-30,68389XAH8,1250000,6.125
2039-07-15,2500000,2009-07-20,172967EW7,1936000,8.125
2039-10-01,900000,2009-09-16,30161MAG8,900000,6.25
2039-10-15,750000,2009-10-05,816851AP4,750000,6
2040-01-15,2000000,2009-11-09,17275RAF9,2000000,5.5
2040-02-15,750000,2009-11-16,26442CAH7,750000,5.3
2040-01-15,750000,2009-12-09,42809HAC1,750000,6
2039-10-15,834000,2009-11-23,06849UAD7,834000,5.95
2040-01-15,750000,2010-01-06,084664BL4,750000,5.75
2031-11-01,1995021,2010-01-04,36186CBY8,1995021,8
2040-05-01,750000,2010-05-12,12189LAA9,750000,5.75
2040-06-01,750000,2010-05-26,893526DJ9,750000,6.1
2040-04-15,1250000,2010-06-01,96950FAF1,1250000,6.3
2041-02-06,750000,2010-08-03,59156RAY4,750000,5.875
2041-02-15,1250000,2010-08-05,42809HAD9,1250000,5.6
2040-08-17,750000,2010-08-10,85771PAC6,750000,5.1
2040-09-15,1500000,2010-08-19,057224AZ0,1145657,5.125
2040-10-15,1250000,2010-10-14,46625HHV5,1250000,5.5
2040-11-01,750000,2010-10-27,89417EAH2,750000,5.35
2040-11-02,500000,2010-10-28,767201AL0,1150000,5.2
2040-11-15,1200000,2010-11-09,88732JAY4,1200000,5.875
2041-02-01,750000,2011-01-04,29379VAT0,750000,5.95
2039-01-15,1249274,2011-02-09,03523TBF4,1249274,8.2
2041-02-01,2500000,2011-01-21,38141GGM0,2500000,6.25
2041-04-01,1000000,2011-03-28,437076AV4,1000000,5.95
2041-05-24,1500000,2011-05-17,21685WCJ4,1500000,5.25
2041-05-27,1250000,2011-05-24,149123BS9,758680,5.2
2111-07-01,750000,2011-05-01,575718AA9,750000,5.6
