bond_id,cusip,offering_amt,amount_outstanding,offering_date
0,03522AAJ9,9518964000.0,9518964000.0,2019-04-15
1,126650CZ1,8000000000.0,8000000000.0,2018-03-06
2,87264ABF1,6999175000.0,6999175000.0,2021-04-24
3,38141GFD1,2500000000.0,5545000000.0,2007-09-26
4,30303MAD4,6500000000.0,6500000000.0,2025-10-30
5,023135DF0,6000000000.0,6000000000.0,2026-03-10
6,30303MAK8,6000000000.0,6000000000.0,2026-04-30
7,30303MAE2,6500000000.0,6500000000.0,2025-10-30
8,716973AG7,6000000000.0,6000000000.0,2023-05-16
10,716973AE2,5000000000.0,5000000000.0,2023-05-16
11,097023CW3,5500000000.0,5500000000.0,2020-04-30
13,30303MAH5,6000000000.0,6000000000.0,2026-04-30
14,03522AAH3,5341555000.0,5341555000.0,2019-04-15
16,06051GMA4,5000000000.0,5000000000.0,2024-01-18
17,00206RLJ9,7495129000.0,7495129000.0,2021-08-04
18,95000U2M4,3500000000.0,5500000000.0,2020-03-23
19,95000U3B7,3500000000.0,4250000000.0,2022-07-18
20,023135DH6,5500000000.0,5500000000.0,2026-03-10
21,06051GLH0,5000000000.0,5000000000.0,2023-04-19
23,68389XDZ5,5000000000.0,5000000000.0,2026-02-02
24,06051GJA8,3000000000.0,5500000000.0,2020-03-17
25,00287YBX6,5437485000.0,5437485000.0,2020-10-19
26,03523TBV9,4000000000.0,4000000000.0,2019-01-10
27,00206RKJ0,7496266000.0,7496266000.0,2021-08-04
28,023135DD5,5000000000.0,5000000000.0,2026-03-10
29,68389XEB7,5000000000.0,5000000000.0,2026-02-02
30,06051GKY4,5000000000.0,5000000000.0,2022-07-19
32,79466LAU8,4500000000.0,4500000000.0,2026-03-11
33,126650CY4,5000000000.0,5000000000.0,2018-03-06
34,06051GKA6,3750000000.0,3750000000.0,2021-07-15
35,61748UAX0,3750000000.0,3750000000.0,2026-04-15
36,00287YCB3,5745050000.0,5745050000.0,2020-10-19
37,031162DR8,4250000000.0,4250000000.0,2023-02-15
38,06051GJT7,4500000000.0,4500000000.0,2021-04-16
39,46647PCU8,3500000000.0,3500000000.0,2022-01-18
40,46647PDR4,2500000000.0,4500000000.0,2023-05-24
41,95000U3F8,4250000000.0,4250000000.0,2023-07-18
43,30303MAJ1,4000000000.0,4000000000.0,2026-04-30
45,38145GAS9,4500000000.0,4500000000.0,2026-01-15
46,30303M8Y1,4500000000.0,4500000000.0,2025-10-30
47,02079KBM8,4250000000.0,4250000000.0,2026-02-09
48,92343VGN8,4626005000.0,4626005000.0,2022-05-02
49,172967MP3,4000000000.0,4000000000.0,2020-03-24
50,61748UAT9,4000000000.0,4000000000.0,2026-01-29
51,30303M8X3,4500000000.0,4500000000.0,2025-10-30
52,060505GR9,3750000000.0,3750000000.0,2026-02-03
53,002824BW9,3750000000.0,3750000000.0,2026-02-23
54,00206RLV2,6495911000.0,6495911000.0,2021-08-04
55,46647PFM3,3000000000.0,3000000000.0,2026-04-15
56,716973AH5,4000000000.0,4000000000.0,2023-05-16
57,031162DT4,4250000000.0,4250000000.0,2023-02-15
58,95000U2U6,3500000000.0,4000000000.0,2022-02-23
59,79466LAS3,3750000000.0,3750000000.0,2026-03-11
60,02079KBP1,4000000000.0,4000000000.0,2026-02-09
61,68389XDM4,4000000000.0,4000000000.0,2025-09-24
63,002824BU3,3750000000.0,3750000000.0,2026-02-23
64,023135DE3,4000000000.0,4000000000.0,2026-03-10
65,61747YGB5,3500000000.0,3500000000.0,2026-03-11
66,95000U4E0,3500000000.0,3500000000.0,2026-01-15
67,38141GZM9,4000000000.0,4000000000.0,2022-01-22
68,02079KBA4,4000000000.0,4000000000.0,2025-11-03
69,46647PFP6,3750000000.0,3750000000.0,2026-04-15
70,95000U3H4,3250000000.0,3250000000.0,2023-10-16
71,79466LAW4,3750000000.0,3750000000.0,2026-03-11
72,097023CY9,4500000000.0,4500000000.0,2020-04-30
73,46647PDH6,3500000000.0,4500000000.0,2022-07-18
75,594918CE2,6250000000.0,6250000000.0,2021-03-04
76,00206RMN9,5923231000.0,5923231000.0,2021-08-04
77,68389XDX0,3500000000.0,3500000000.0,2026-02-02
78,46625HHF0,2500000000.0,2500000000.0,2008-05-16
79,25156PAC7,3500000000.0,3500000000.0,2000-06-28
82,30303MAC6,4000000000.0,4000000000.0,2025-10-30
83,06051GLU1,3750000000.0,3750000000.0,2023-09-12
84,95000U3W1,2250000000.0,3750000000.0,2025-04-15
85,30303MAL6,4000000000.0,4000000000.0,2026-04-30
86,46647PEX0,3500000000.0,3500000000.0,2025-04-14
87,594918CC6,6249997000.0,6249997000.0,2020-05-19
88,43849RAJ4,3500000000.0,3500000000.0,2026-03-10
89,43849RAG0,3250000000.0,3250000000.0,2026-03-10
90,06051GJE0,3000000000.0,5000000000.0,2020-06-16
91,06051GMM8,3500000000.0,3500000000.0,2025-01-17
92,38145GAR1,3750000000.0,3750000000.0,2026-01-15
93,38141GF33,2500000000.0,2500000000.0,2026-05-27
95,097023CX1,3500000000.0,3500000000.0,2020-04-30
96,046353AD0,2750000000.0,2750000000.0,2007-09-05
97,30303MAB8,4000000000.0,4000000000.0,2025-10-30
98,46647PEH5,3000000000.0,3000000000.0,2024-04-15
99,61747YFT7,3250000000.0,3250000000.0,2024-07-17
101,00287YCA5,4000000000.0,4000000000.0,2020-10-19
102,02079KAY3,3500000000.0,3500000000.0,2025-11-03
103,023135CV6,3500000000.0,3500000000.0,2025-11-17
104,95000U3D3,3750000000.0,3750000000.0,2023-04-17
105,06051GKQ1,4000000000.0,4000000000.0,2022-04-21
106,00206RMM1,3744161000.0,3744161000.0,2021-08-04
108,06051GNA3,3250000000.0,3250000000.0,2026-04-16
109,38141GB78,3500000000.0,3500000000.0,2024-10-16
110,717081CY7,2500000000.0,2500000000.0,2009-03-17
111,61747YFE0,3250000000.0,3250000000.0,2023-04-19
112,95000U2Q5,3500000000.0,3500000000.0,2020-04-23
113,30303MAF9,3000000000.0,3000000000.0,2026-04-30
114,00774MAX3,4000000000.0,4000000000.0,2021-10-21
115,06051GHZ5,3500000000.0,3500000000.0,2020-02-10
116,46647PEK8,3500000000.0,3500000000.0,2024-07-15
117,38141GYJ7,4000000000.0,4000000000.0,2021-07-14
118,46647PCR5,3000000000.0,3000000000.0,2021-11-01
119,61747YFJ9,2000000000.0,2000000000.0,2023-10-30
121,404280DW6,2750000000.0,2750000000.0,2023-03-02
