cusip,window_start,window_end,n_trades,n_capped_trades,total_volume_floor,days_traded,n_customer_trades,n_dealer_trades,median_trade_size
001055BJ0,2025-09-04,2025-12-04,1270,0,145070000.0,63,,,18000.0
00108WAU4,2025-09-04,2025-12-04,1078,1,2318953000.0,51,,,1000000.0
00130HCG8,2025-09-04,2025-12-04,542,0,442986000.0,64,,,155000.0
00130HCM5,2025-09-04,2025-12-04,1743,0,436078000.0,64,,,25000.0
00206RBH4,2025-09-04,2025-12-04,910,0,281141000.0,64,,,24000.0
00206RBK7,2025-09-04,2025-12-04,503,0,145019000.0,61,,,34000.0
00206RCP5,2025-09-04,2025-12-04,2926,0,765954500.0,66,,,30000.0
00206RCQ3,2025-09-04,2025-12-04,626,0,248068000.0,63,,,50000.0
00206RCU4,2025-09-04,2025-12-04,142,0,13820000.0,39,,,50000.0
00206RDJ8,2025-09-04,2025-12-04,461,0,164275000.0,62,,,100000.0
00206RDK5,2025-09-04,2025-12-04,289,0,63634000.0,55,,,40000.0
00206RDR0,2025-09-04,2025-12-04,1133,0,283161000.0,64,,,27000.0
00206RGQ9,2025-09-04,2025-12-04,9593,0,683821000.0,64,,,5000.0
00206RHK1,2025-09-04,2025-12-04,870,0,105980000.0,63,,,20000.0
00206RJY9,2025-09-04,2025-12-04,4216,0,734024000.0,64,,,12000.0
00206RJZ6,2025-09-04,2025-12-04,838,0,539424000.0,64,,,100000.0
00206RKA9,2025-09-04,2025-12-04,694,0,564886000.0,63,,,100000.0
00206RKB7,2025-09-04,2025-12-04,363,0,193729000.0,58,,,170000.0
00206RKE1,2025-09-04,2025-12-04,338,0,170098000.0,58,,,95000.0
00206RKH4,2025-09-04,2025-12-04,11257,0,1050656000.0,65,,,3000.0
00206RKJ0,2025-09-04,2025-12-04,1303,0,1407292000.0,64,,,187000.0
00206RLJ9,2025-09-04,2025-12-04,1196,0,1920230000.0,63,,,200000.0
00206RLV2,2025-09-04,2025-12-04,753,0,874161000.0,63,,,200000.0
00206RMM1,2025-09-04,2025-12-04,3524,0,1068196000.0,64,,,11000.0
00206RMN9,2025-09-04,2025-12-04,855,0,904219600.0,63,,,235000.0
00206RMT6,2025-09-04,2025-12-04,4806,1,844822000.0,64,,,14000.0
00206RMX7,2025-09-04,2025-12-04,2247,0,1020708000.0,64,,,15000.0
00206RMY5,2025-09-04,2025-12-04,1473,0,907135000.0,63,,,75000.0
00206RMZ2,2025-09-04,2025-12-04,1381,0,1785683000.0,63,,,60000.0
00206RNB4,2025-09-04,2025-12-04,1721,1,2668020000.0,55,,,78000.0
00206RNC2,2025-09-04,2025-12-04,2173,1,3819553000.0,54,,,100000.0
00206RND0,2025-09-04,2025-12-04,1661,2,2820017000.0,53,,,100000.0
00206RNE8,2025-09-04,2025-12-04,1478,3,4592383000.0,53,,,1000000.0
00217GAC7,2025-09-04,2025-12-04,505,0,547896000.0,59,,,500000.0
002824BG4,2025-09-04,2025-12-04,2132,0,505408000.0,64,,,34000.0
002824BH2,2025-09-04,2025-12-04,1281,0,309454000.0,64,,,35000.0
00287YAM1,2025-09-04,2025-12-04,532,0,175779440.0,61,,,110000.0
00287YAR0,2025-09-04,2025-12-04,3600,0,871605000.0,64,,,15000.0
00287YAS8,2025-09-04,2025-12-04,734,0,361463000.0,63,,,100000.0
00287YAV1,2025-09-04,2025-12-04,1160,0,167748000.0,64,,,30000.0
00287YAW9,2025-09-04,2025-12-04,1238,0,251584000.0,64,,,13000.0
00287YBD0,2025-09-04,2025-12-04,894,0,214719000.0,63,,,20000.0
00287YBX6,2025-09-04,2025-12-04,4468,0,1268803000.0,65,,,25000.0
00287YCA5,2025-09-04,2025-12-04,1996,0,721599000.0,63,,,42000.0
00287YCB3,2025-09-04,2025-12-04,1157,0,794848000.0,63,,,164000.0
00287YCY3,2025-09-04,2025-12-04,2549,0,339806000.0,63,,,10000.0
00287YDA4,2025-09-04,2025-12-04,297,0,85470000.0,58,,,100000.0
00287YDB2,2025-09-04,2025-12-04,228,0,82423000.0,49,,,100000.0
00287YDT3,2025-09-04,2025-12-04,4720,0,779623000.0,64,,,10000.0
00287YDU0,2025-09-04,2025-12-04,3521,0,694735000.0,64,,,18000.0
00287YDV8,2025-09-04,2025-12-04,683,0,122594000.0,63,,,30000.0
00287YDW6,2025-09-04,2025-12-04,1308,1,1590844000.0,63,,,125000.0
00287YDX4,2025-09-04,2025-12-04,772,0,546039000.0,63,,,109000.0
00287YDZ9,2025-09-04,2025-12-04,1743,0,229320000.0,63,,,10000.0
00287YEA3,2025-09-04,2025-12-04,828,0,707467000.0,63,,,90000.0
00287YEB1,2025-09-04,2025-12-04,664,0,732315000.0,63,,,200000.0
00440EAW7,2025-09-04,2025-12-04,380,0,235971000.0,60,,,215000.0
00440KAB9,2025-09-04,2025-12-04,3039,0,423162000.0,63,,,20000.0
00440KAC7,2025-09-04,2025-12-04,3577,0,817119000.0,64,,,30000.0
00440KAD5,2025-09-04,2025-12-04,2972,0,1227845000.0,64,,,35000.0
00724PAD1,2025-09-04,2025-12-04,1741,0,314907000.0,64,,,18000.0
00724PAG4,2025-09-04,2025-12-04,672,0,202969000.0,62,,,30000.0
00774MAX3,2025-09-04,2025-12-04,1023,0,552032000.0,63,,,169000.0
00774MAY1,2025-09-04,2025-12-04,351,0,311183000.0,54,,,227000.0
00774MAZ8,2025-09-04,2025-12-04,485,0,315774000.0,61,,,230000.0
00774MBE4,2025-09-04,2025-12-04,342,0,279562000.0,56,,,200000.0
00774MBL8,2025-09-04,2025-12-04,295,0,185854000.0,57,,,200000.0
00774MBM6,2025-09-04,2025-12-04,397,0,308202000.0,59,,,250000.0
00774MBP9,2025-09-04,2025-12-04,365,0,388380000.0,57,,,300000.0
00817YAF5,2025-09-04,2025-12-04,661,0,173760000.0,62,,,40000.0
00846UAN1,2025-09-04,2025-12-04,633,0,188956000.0,63,,,50000.0
00914AAK8,2025-09-04,2025-12-04,1092,0,757653000.0,63,,,31000.0
00914AAS1,2025-09-04,2025-12-04,773,0,220898000.0,63,,,17000.0
