bond_id,Name,Sector,Rating_Bucket,Maturity_Bucket,Weight_Renorm,Sampled_Weight
0,ANHEUSER-BUSCH COMPANIES LLC,Consumer Non-Cyclical,A-or-better,15-20yr,0.0018495204827492268,0.030495928449687862
1,CVS HEALTH CORP,Consumer Non-Cyclical,BBB,20yr+,0.0015916071786944268,0.02624330960061929
2,T-MOBILE USA INC,Communications,BBB,3-5yr,0.0015566478363088737,0.025666880405061945
3,GOLDMAN SACHS GROUP INC/THE,Banking,BBB,10-15yr,0.001488542604456903,0.024543923240229772
4,META PLATFORMS INC,Communications,A-or-better,7-10yr,0.0014821955192399294,0.024439268948240975
5,AMAZON.COM INC,Consumer Cyclical,A-or-better,7-10yr,0.001460534831594702,0.024082115412088732
6,META PLATFORMS INC,Communications,A-or-better,20yr+,0.0014158029929226975,0.0233445518304534
7,META PLATFORMS INC,Communications,A-or-better,20yr+,0.0014136872978503731,0.023309667066457134
8,PFIZER INVESTMENT ENTERPRISES PTE,Consumer Non-Cyclical,A-or-better,20yr+,0.001409455907705724,0.0232398975384646
9,SPACE EXPLORATION TECHNOLOGIES COR 144A,Communications,BBB,7-10yr,0.0013681494801031976,0.022558814050918467
10,PFIZER INVESTMENT ENTERPRISES PTE,Consumer Non-Cyclical,A-or-better,5-7yr,0.0013293617371105812,0.021919260044320262
11,BOEING CO,Capital Goods,BBB,20yr+,0.001316264577139048,0.021703306743390993
12,SPACE EXPLORATION TECHNOLOGIES COR 144A,Communications,BBB,5-7yr,0.001308507028540525,0.021575395942071356
13,META PLATFORMS INC,Communications,A-or-better,7-10yr,0.001293898657803046,0.02133452495257333
14,ANHEUSER-BUSCH COMPANIES LLC,Consumer Non-Cyclical,A-or-better,7-10yr,0.0012904732467335684,0.02127804485848414
15,SPACE EXPLORATION TECHNOLOGIES COR 144A,Communications,BBB,3-5yr,0.0012658908849408452,0.020872717124432293
16,BANK OF AMERICA CORP MTN,Banking,A-or-better,7-10yr,0.0012515847563565553,0.020636829672648016
17,AT&T INC,Communications,BBB,20yr+,0.001245539913292771,0.020537158918372975
18,WELLS FARGO & COMPANY MTN,Banking,A-or-better,20yr+,0.0012223680148815976,0.02015508769365197
19,WELLS FARGO & COMPANY MTN,Banking,A-or-better,7-10yr,0.0012141067293610923,0.020018870996142742
20,AMAZON.COM INC,Consumer Cyclical,A-or-better,20yr+,0.0012032260118462804,0.01983946363844766
21,BANK OF AMERICA CORP MTN,Banking,A-or-better,7-10yr,0.0011817668189698458,0.01948563246077125
22,NVIDIA CORPORATION,Technology,A-or-better,7-10yr,0.0011738077756025297,0.019354399300975777
23,ORACLE CORPORATION,Technology,BBB,7-10yr,0.0011596023944026364,0.01912017302842942
24,BANK OF AMERICA CORP MTN,Banking,A-or-better,20yr+,0.00115950164701824,0.019118511849191503
25,ABBVIE INC,Consumer Non-Cyclical,A-or-better,3-5yr,0.0011526508248792845,0.01900555166101312
26,ANHEUSER-BUSCH INBEV WORLDWIDE INC,Consumer Non-Cyclical,A-or-better,20yr+,0.0011429790759772294,0.01884607845417305
27,AT&T INC,Communications,BBB,20yr+,0.0011424753390552474,0.01883777255798346
28,AMAZON.COM INC,Consumer Cyclical,A-or-better,3-5yr,0.0011381432015262019,0.018766341850753012
29,ORACLE CORPORATION,Technology,BBB,20yr+,0.0011349192852255169,0.018713184115139656
30,BANK OF AMERICA CORP MTN,Banking,A-or-better,7-10yr,0.0011345162956879313,0.018706539398187984
31,NVIDIA CORPORATION,Technology,A-or-better,3-5yr,0.0011302849055432821,0.01863676987019545
32,SALESFORCE INC,Technology,A-or-better,7-10yr,0.0011271617366269936,0.01858527331382001
33,CVS HEALTH CORP,Consumer Non-Cyclical,BBB,10-15yr,0.0011221243674071734,0.018502214351924146
34,BANK OF AMERICA CORP,Banking,A-or-better,5-7yr,0.001099254711149189,0.01812512666491689
35,MORGAN STANLEY MTN,Banking,A-or-better,10-15yr,0.0010923031416258371,0.01801050529750059
36,ABBVIE INC,Consumer Non-Cyclical,A-or-better,20yr+,0.0010813216767266288,0.017829436760567592
37,AMGEN INC,Consumer Non-Cyclical,BBB,5-7yr,0.001069735727521042,0.017638401148207087
38,BANK OF AMERICA CORP MTN,Banking,A-or-better,5-7yr,0.0010693327379834563,0.01763175643125542
39,JPMORGAN CHASE & CO,Banking,A-or-better,5-7yr,0.0010548251146303739,0.017392546620995313
40,JPMORGAN CHASE & CO,Banking,A-or-better,7-10yr,0.0010513997035608961,0.01733606652690612
41,WELLS FARGO & COMPANY MTN,Banking,A-or-better,7-10yr,0.0010490825137197787,0.01729785940443402
42,GOLDMAN SACHS GROUP INC/THE MTN,Banking,A-or-better,10-15yr,0.0010473698081850398,0.01726961935738942
43,META PLATFORMS INC,Communications,A-or-better,15-20yr,0.0010354816168262639,0.017073600207315166
44,GOLDMAN SACHS GROUP INC/THE MTN,Banking,A-or-better,5-7yr,0.001033567416522732,0.017042037801794734
45,GOLDMAN SACHS GROUP INC/THE,Banking,A-or-better,10-15yr,0.001027824815612137,0.016947350585233445
46,META PLATFORMS INC,Communications,A-or-better,20yr+,0.0010202687617824066,0.01682276214238964
47,ALPHABET INC,Technology,A-or-better,7-10yr,0.0010175485824037037,0.01677791030296587
48,VERIZON COMMUNICATIONS INC,Communications,BBB,5-7yr,0.0010121082236462975,0.016688206624118327
49,CITIGROUP INC,Banking,A-or-better,3-5yr,0.0010093880442675948,0.01664335478469456
