bond_id,Name,Sector,Rating_Bucket,Maturity_Bucket,Weight_Renorm,Sampled_Weight
1277,EASTMAN CHEMICAL COMPANY,Basic Industry,BBB,7-10yr,0.0002867270559921723,0.017440057305832177
411,JBS USA LUX SA,Consumer Non-Cyclical,BBB,5-7yr,0.0004921509727764447,0.016674445987029184
894,MPLX LP,Energy,BBB,3-5yr,0.0003412313909506281,0.015839473494999496
912,CENCORA INC,Consumer Non-Cyclical,BBB,3-5yr,0.0003378059798811503,0.014959641902111796
190,BP CAPITAL MARKETS AMERICA INC,Energy,A-or-better,5-7yr,0.0007087578492287182,0.013461712507214034
1011,CHEVRON USA INC,Energy,A-or-better,3-5yr,0.0003239028408344462,0.013127198559811405
14,ANHEUSER-BUSCH COMPANIES LLC,Consumer Non-Cyclical,A-or-better,7-10yr,0.0012904732467335684,0.01312674009769834
503,PEPSICO INC,Consumer Non-Cyclical,A-or-better,7-10yr,0.00044228101750022364,0.012939557879174878
740,ENTERPRISE PRODUCTS OPERATING LLC,Energy,A-or-better,7-10yr,0.0003706496271943788,0.012378709969754759
580,STARBUCKS CORPORATION,Consumer Cyclical,BBB,3-5yr,0.0004077246646522563,0.012259376453402176
175,RAYTHEON TECHNOLOGIES CORPORATION,Capital Goods,BBB,15-20yr,0.0007251796728853326,0.011925840515699514
366,EATON CORPORATION,Capital Goods,A-or-better,7-10yr,0.0005235841567081236,0.011923285598050825
548,WALMART INC,Consumer Cyclical,A-or-better,5-7yr,0.00042203079323654594,0.01120973197358271
1,CVS HEALTH CORP,Consumer Non-Cyclical,BBB,20yr+,0.0015916071786944268,0.01078912015627485
615,BP CAPITAL MARKETS AMERICA INC,Energy,A-or-better,20yr+,0.00039966487390054377,0.010305104702495842
509,ENERGY TRANSFER OPERATING LP,Energy,BBB,20yr+,0.00044046756458108837,0.010186926718747203
511,DELL INTERNATIONAL LLC,Technology,BBB,3-5yr,0.0004399638276591063,0.009851950292296194
602,PFIZER INC,Consumer Non-Cyclical,A-or-better,7-10yr,0.00040248580066364314,0.00965608185115732
478,FIDELITY NATIONAL INFORMATION SERV,Technology,BBB,3-5yr,0.00045144902948029666,0.009321229431181863
1050,CATERPILLAR INC,Capital Goods,A-or-better,15-20yr,0.0003186639768458331,0.009139270833663261
26,ANHEUSER-BUSCH INBEV WORLDWIDE INC,Consumer Non-Cyclical,A-or-better,20yr+,0.0011429790759772294,0.009116944403329752
96,ASTRAZENECA PLC,Consumer Non-Cyclical,A-or-better,10-15yr,0.0008591736941325528,0.009104541642064843
838,GENERAL MOTORS CO,Consumer Cyclical,BBB,7-10yr,0.0003508023924682867,0.009086660868657845
181,AMGEN INC,Consumer Non-Cyclical,BBB,20yr+,0.0007201423036655122,0.009014705411113844
400,INTEL CORPORATION,Technology,BBB,20yr+,0.0005006137530657429,0.008898371316660528
179,GLAXOSMITHKLINE CAPITAL INC,Consumer Non-Cyclical,A-or-better,10-15yr,0.0007217542618158547,0.008740191240343375
146,SALESFORCE INC,Technology,A-or-better,5-7yr,0.0007601390152708855,0.008547748296940761
983,BARCLAYS PLC,Banking,Unknown/Ambiguous,15-20yr,0.0003288394626698702,0.008456888910764243
173,ABBVIE INC,Consumer Non-Cyclical,A-or-better,20yr+,0.000726791631035675,0.008416068692447171
11,BOEING CO,Capital Goods,BBB,20yr+,0.001316264577139048,0.008385972454130737
133,SPACE EXPLORATION TECHNOLOGIES COR 144A,Communications,BBB,20yr+,0.000781094471225338,0.008307646359698955
959,ELEVANCE HEALTH INC,Insurance,BBB,20yr+,0.0003310559051265911,0.008232894567987158
962,ARTHUR J GALLAGHER & CO,Insurance,BBB,20yr+,0.00033014917866702346,0.008192557884022149
121,HSBC HOLDINGS PLC,Banking,A-or-better,15-20yr,0.0007998334847230696,0.008154639983591687
205,BANK OF AMERICA CORP,Banking,A-or-better,15-20yr,0.0006880038880430587,0.008077509904809635
110,PFIZER INC,Consumer Non-Cyclical,A-or-better,10-15yr,0.0008277405102008742,0.008065377612050879
