bond_id,Name,Sector,Rating_Bucket,Maturity_Bucket,Weight_Renorm,Sampled_Weight
17,AT&T INC,Communications,BBB,20yr+,0.001245539913292771,0.03704937483087143
60,ALPHABET INC,Technology,A-or-better,20yr+,0.000958107625609824,0.033545927121817594
49,CITIGROUP INC,Banking,A-or-better,3-5yr,0.0010093880442675948,0.031996452753602384
1,CVS HEALTH CORP,Consumer Non-Cyclical,BBB,20yr+,0.0015916071786944268,0.03063891945407302
84,WELLS FARGO & COMPANY MTN,Banking,A-or-better,3-5yr,0.0008958457420528448,0.028397290935725357
25,ABBVIE INC,Consumer Non-Cyclical,A-or-better,3-5yr,0.0011526508248792845,0.028109914587979134
16,BANK OF AMERICA CORP MTN,Banking,A-or-better,7-10yr,0.0012515847563565553,0.02698465155425473
34,BANK OF AMERICA CORP,Banking,A-or-better,5-7yr,0.001099254711149189,0.02658894128182769
19,WELLS FARGO & COMPANY MTN,Banking,A-or-better,7-10yr,0.0012141067293610923,0.02617661079291023
38,BANK OF AMERICA CORP MTN,Banking,A-or-better,5-7yr,0.0010693327379834563,0.02586518401295198
39,JPMORGAN CHASE & CO,Banking,A-or-better,5-7yr,0.0010548251146303739,0.025514271397739523
21,BANK OF AMERICA CORP MTN,Banking,A-or-better,7-10yr,0.0011817668189698458,0.025479349813362955
14,ANHEUSER-BUSCH COMPANIES LLC,Consumer Non-Cyclical,A-or-better,7-10yr,0.0012904732467335684,0.025055290560145063
18,WELLS FARGO & COMPANY MTN,Banking,A-or-better,20yr+,0.0012223680148815976,0.02260599561406001
31,NVIDIA CORPORATION,Technology,A-or-better,3-5yr,0.0011302849055432821,0.022380126553705908
8,PFIZER INVESTMENT ENTERPRISES PTE,Consumer Non-Cyclical,A-or-better,20yr+,0.001409455907705724,0.022229859416859673
6,META PLATFORMS INC,Communications,A-or-better,20yr+,0.0014158029929226975,0.021458435065486725
22,NVIDIA CORPORATION,Technology,A-or-better,7-10yr,0.0011738077756025297,0.02139417167476662
35,MORGAN STANLEY MTN,Banking,A-or-better,10-15yr,0.0010923031416258371,0.021270119281130553
121,HSBC HOLDINGS PLC,Banking,A-or-better,15-20yr,0.0007998334847230696,0.020650843883239976
42,GOLDMAN SACHS GROUP INC/THE MTN,Banking,A-or-better,10-15yr,0.0010473698081850398,0.0203951448115323
440,CHENIERE ENERGY PARTNERS LP,Energy,BBB,7-10yr,0.00047401644358509163,0.02006314716039603
10,PFIZER INVESTMENT ENTERPRISES PTE,Consumer Non-Cyclical,A-or-better,5-7yr,0.0013293617371105812,0.019669843551431043
77,ORACLE CORPORATION,Technology,BBB,3-5yr,0.0009124690604782518,0.019668969219584505
316,HCA INC,Consumer Non-Cyclical,BBB,3-5yr,0.0005713384169120201,0.019598439783964257
2,T-MOBILE USA INC,Communications,BBB,3-5yr,0.0015566478363088737,0.01953694511075817
29,ORACLE CORPORATION,Technology,BBB,20yr+,0.0011349192852255169,0.018634488923162697
0,ANHEUSER-BUSCH COMPANIES LLC,Consumer Non-Cyclical,A-or-better,15-20yr,0.0018495204827492268,0.018510625244903992
59,SALESFORCE INC,Technology,A-or-better,5-7yr,0.0009708017960437711,0.01837087787143329
26,ANHEUSER-BUSCH INBEV WORLDWIDE INC,Consumer Non-Cyclical,A-or-better,20yr+,0.0011429790759772294,0.01802700179301451
20,AMAZON.COM INC,Consumer Cyclical,A-or-better,20yr+,0.0012032260118462804,0.017768171785223878
208,UNITEDHEALTH GROUP INC,Insurance,A-or-better,20yr+,0.0006844777295891844,0.01747731072427756
9,SPACE EXPLORATION TECHNOLOGIES COR 144A,Communications,BBB,7-10yr,0.0013681494801031976,0.01746813023988897
465,ONEOK INC,Energy,BBB,20yr+,0.0004563856513157205,0.017430096804564827
580,STARBUCKS CORPORATION,Consumer Cyclical,BBB,3-5yr,0.0004077246646522563,0.016699155380864052
23,ORACLE CORPORATION,Technology,BBB,7-10yr,0.0011596023944026364,0.016667970878337744
891,DUKE ENERGY CAROLINAS LLC,Electric,A-or-better,20yr+,0.0003416343804882138,0.015868977292581892
393,KROGER CO,Consumer Non-Cyclical,BBB,7-10yr,0.0005040391641352207,0.015142990416011462
358,EXXON MOBIL CORP,Energy,A-or-better,20yr+,0.0005319461896130252,0.014422832418417917
436,WILLIAMS COMPANIES INC,Energy,BBB,3-5yr,0.00047724035988577665,0.014418460759185259
37,AMGEN INC,Consumer Non-Cyclical,BBB,5-7yr,0.001069735727521042,0.014264724076170042
96,ASTRAZENECA PLC,Consumer Non-Cyclical,A-or-better,10-15yr,0.0008591736941325528,0.014163010138023483
131,ORACLE CORPORATION,Technology,BBB,5-7yr,0.0007826056819912841,0.013106380101489528
28,AMAZON.COM INC,Consumer Cyclical,A-or-better,3-5yr,0.0011381432015262019,0.012891731633165912
12,SPACE EXPLORATION TECHNOLOGIES COR 144A,Communications,BBB,5-7yr,0.001308507028540525,0.012681746268023803
11,BOEING CO,Capital Goods,BBB,20yr+,0.001316264577139048,0.01148930335132854
189,VERIZON COMMUNICATIONS INC,Communications,BBB,10-15yr,0.0007096645756882859,0.010695701478626302
326,FORD MOTOR COMPANY,Consumer Cyclical,BBB,5-7yr,0.0005554203301773879,0.010521417997217583
622,FORD MOTOR CREDIT COMPANY LLC,Consumer Cyclical,BBB,7-10yr,0.00039613871544666955,0.010520543665371052
5,AMAZON.COM INC,Consumer Cyclical,A-or-better,7-10yr,0.001460534831594702,0.010434130534538804
