N,lambda,liquidity_score,ytm_%,ytm_diff_pp,duration,duration_diff,sector_L1_pp,rating_L1_pp,maturity_L1_pp,top10_issuer_%,max_issuer_%,issuer_hhi
50,0.0,0.8771,5.5634,0.0421,7.867,0.01,14.591,0.186,5.54,30.0,3.0,267.1
50,0.0025,0.9078,5.6111,0.0057,7.838,0.019,14.893,1.844,5.986,30.0,3.0,281.5
50,0.005,0.9094,5.6025,0.0029,7.844,0.014,10.162,0.006,2.075,30.0,3.0,267.1
50,0.0075,0.9078,5.582,0.0235,7.711,0.147,16.209,0.376,7.637,30.0,3.0,293.0
50,0.01,0.9067,5.6,0.0054,7.785,0.072,10.162,0.026,2.075,30.0,3.0,259.9
50,0.015,0.9106,5.6124,0.007,7.849,0.008,12.264,0.022,2.062,30.01,3.0,267.0
50,0.02,0.9106,5.6132,0.0078,7.848,0.009,12.266,0.028,2.075,30.0,3.0,267.4
50,0.025,0.911,5.6172,0.0117,7.832,0.025,12.266,0.025,2.075,30.0,3.0,265.3
50,0.03,0.9102,5.6415,0.0361,7.87,0.013,12.266,0.071,2.591,30.0,3.0,276.3
50,0.04,0.9083,5.6169,0.0115,7.805,0.052,12.487,0.696,3.114,30.0,3.0,267.2
50,0.05,0.9125,5.6151,0.0097,7.759,0.098,14.591,0.925,12.527,30.0,3.0,295.3
50,0.06,0.9084,5.6169,0.0115,7.805,0.053,12.487,0.695,3.114,30.0,3.0,267.0
50,0.075,0.9126,5.6143,0.0088,7.754,0.103,14.591,0.933,11.727,30.0,3.0,295.3
50,0.09,0.913,5.6384,0.033,7.838,0.019,12.266,0.105,2.075,30.0,3.0,264.2
50,0.1,0.9131,5.6389,0.0334,7.838,0.019,12.266,0.117,2.075,30.0,3.0,264.2
50,0.125,0.9122,5.6205,0.0151,7.731,0.127,14.591,0.233,4.475,30.0,3.0,284.0
50,0.15,0.9105,5.6301,0.0247,7.839,0.018,14.591,0.569,1.211,30.0,3.0,280.2
50,0.175,0.9139,5.6597,0.0543,7.861,0.003,14.591,0.841,6.83,30.0,3.0,291.9
50,0.2,0.9133,5.6556,0.0501,7.811,0.047,12.266,0.191,2.075,30.0,3.0,263.8
50,0.25,0.9121,5.645,0.0396,7.721,0.136,14.591,0.17,9.604,30.0,3.0,286.9
50,0.3,0.9135,5.6562,0.0508,7.811,0.046,12.266,0.296,2.075,30.0,3.0,264.0
50,0.4,0.9137,5.6569,0.0514,7.812,0.046,12.266,0.4,2.075,30.0,3.0,264.3
50,0.5,0.9139,5.6572,0.0517,7.811,0.046,12.266,0.505,2.075,30.0,3.0,264.6
