category,benchmark_%,no_liq_N25_%,with_liq_N25_%,no_liq_N50_%,with_liq_N50_%,no_liq_N100_%,with_liq_N100_%,no_liq_N200_%,with_liq_N200_%
Banking,23.267,24.0,28.0,24.176,25.0,23.311,23.903,23.289,23.546
Consumer Non-Cyclical,16.971,20.0,20.0,17.866,18.0,17.015,17.835,16.994,17.487
Technology,13.162,12.0,12.0,12.0,12.0,13.206,13.672,13.185,13.49
Communications,11.163,12.0,4.0,11.924,12.0,11.207,12.167,11.186,12.101
Energy,8.302,8.0,12.0,9.327,9.0,8.346,8.407,8.324,8.285
Consumer Cyclical,7.559,8.0,12.0,8.315,9.0,7.603,7.692,7.582,7.561
Capital Goods,4.687,0.0,8.0,5.588,6.0,4.73,5.005,4.709,5.149
Electric,4.318,8.0,0.0,5.344,3.0,4.362,3.799,4.34,4.109
Insurance,4.052,8.0,4.0,3.0,3.0,4.096,3.698,4.074,3.921
Basic Industry,1.722,0.0,0.0,0.0,0.0,1.765,1.334,1.744,1.454
Transportation,1.437,0.0,0.0,2.459,3.0,1.481,0.0,1.46,1.017
Brokerage/Asset Managers/Exchanges,1.147,0.0,0.0,0.0,0.0,1.191,0.746,1.169,0.184
Reits,0.897,0.0,0.0,0.0,0.0,0.941,0.4,0.919,0.302
Finance Companies,0.703,0.0,0.0,0.0,0.0,0.746,1.342,0.725,1.294
Natural Gas,0.278,0.0,0.0,0.0,0.0,0.0,0.0,0.301,0.1
Utility Other,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Other,0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Owned No Guarantee,0.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financial Other,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
