N,lambda,liquidity_score,ytm_%,ytm_diff_pp,duration,duration_diff,sector_L1_pp,rating_L1_pp,maturity_L1_pp,top10_issuer_%,max_issuer_%,issuer_hhi
50,0.0,0.6695,5.5634,0.0421,7.867,0.01,14.591,0.186,5.54,30.0,3.0,267.1
50,0.0025,0.7397,5.6711,0.0657,8.224,0.367,15.86,0.376,11.279,30.0,3.0,295.4
50,0.005,0.7379,5.6069,0.0014,7.853,0.004,12.487,0.005,0.162,30.0,3.0,264.5
50,0.0075,0.7436,5.6056,0.0001,7.692,0.165,14.591,0.957,8.004,30.0,3.0,286.1
50,0.01,0.7394,5.6095,0.004,7.792,0.065,12.487,0.022,2.075,30.0,3.0,263.1
50,0.015,0.7341,5.6279,0.0225,7.828,0.029,12.487,0.799,1.025,30.0,3.0,268.4
50,0.02,0.7392,5.622,0.0165,7.816,0.042,12.487,0.02,0.15,30.0,3.0,265.7
50,0.025,0.7403,5.6764,0.071,8.06,0.203,15.124,0.378,11.556,30.0,3.0,295.7
50,0.03,0.7391,5.6231,0.0177,7.807,0.051,10.162,0.068,0.338,30.0,3.0,260.2
50,0.04,0.741,5.6305,0.0251,7.796,0.062,10.162,0.053,0.884,30.0,3.0,266.6
50,0.05,0.7448,5.6338,0.0284,7.823,0.034,16.43,0.083,7.63,30.0,3.0,295.5
50,0.06,0.7406,5.6271,0.0217,7.746,0.111,12.487,0.124,2.075,30.0,3.0,265.1
50,0.075,0.7431,5.6864,0.081,7.951,0.094,16.43,0.376,12.83,30.0,3.0,295.4
50,0.09,0.7416,5.6988,0.0934,8.02,0.162,16.43,0.376,11.556,30.0,3.0,295.4
50,0.1,0.7404,5.63,0.0246,7.762,0.096,12.487,0.593,1.101,30.0,3.0,273.9
50,0.125,0.7379,5.6557,0.0503,7.697,0.161,12.487,0.964,2.208,30.0,3.0,264.0
50,0.15,0.7413,5.6654,0.0599,8.008,0.151,16.814,3.256,11.786,30.0,3.0,295.8
50,0.175,0.7429,5.6559,0.0504,7.718,0.14,13.037,0.218,0.485,30.0,3.0,263.6
50,0.2,0.7412,5.6533,0.0478,7.734,0.124,10.162,0.475,0.899,30.0,3.0,261.2
50,0.25,0.742,5.6539,0.0485,7.749,0.108,12.487,0.1,0.632,30.0,3.0,266.8
50,0.3,0.7422,5.6386,0.0332,7.738,0.12,10.162,0.083,2.267,30.0,3.0,264.5
50,0.4,0.7435,5.6478,0.0424,7.67,0.188,10.162,0.778,2.42,30.0,3.0,265.4
50,0.5,0.7451,5.6794,0.074,7.686,0.171,15.14,0.376,2.502,30.0,3.0,284.8
50,0.75,0.743,5.7224,0.1169,7.986,0.129,14.591,3.256,12.319,30.0,3.0,294.9
50,1.0,0.7451,5.6609,0.0555,7.611,0.246,15.362,0.703,2.003,30.0,3.0,269.0
50,1.5,0.7476,5.6551,0.0497,7.512,0.346,13.949,1.673,4.037,30.0,3.0,267.0
