category,benchmark_%,no_liq_N50_%,with_liq_N50_%,no_liq_N100_%,with_liq_N100_%,no_liq_N200_%,with_liq_N200_%
Banking,23.267,24.176,24.038,23.311,22.952,23.289,23.066
Consumer Non-Cyclical,16.971,17.866,18.204,17.015,17.814,16.994,16.85
Technology,13.162,12.0,12.0,13.206,14.036,13.185,14.336
Communications,11.163,11.924,11.874,11.207,10.648,11.186,11.048
Energy,8.302,9.327,9.358,8.346,8.688,8.324,7.926
Consumer Cyclical,7.559,8.315,8.841,7.603,8.501,7.582,7.8
Capital Goods,4.687,5.588,5.356,4.73,5.037,4.709,5.2
Electric,4.318,5.344,5.271,4.362,4.509,4.34,4.016
Insurance,4.052,3.0,5.058,4.096,5.914,4.074,4.5
Basic Industry,1.722,0.0,0.0,1.765,1.501,1.744,1.798
Transportation,1.437,2.459,0.0,1.481,0.0,1.46,1.477
Brokerage/Asset Managers/Exchanges,1.147,0.0,0.0,1.191,0.2,1.169,1.583
Reits,0.897,0.0,0.0,0.941,0.2,0.919,0.2
Finance Companies,0.703,0.0,0.0,0.746,0.0,0.725,0.2
Natural Gas,0.278,0.0,0.0,0.0,0.0,0.301,0.0
Utility Other,0.105,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Other,0.094,0.0,0.0,0.0,0.0,0.0,0.0
Owned No Guarantee,0.073,0.0,0.0,0.0,0.0,0.0,0.0
Financial Other,0.063,0.0,0.0,0.0,0.0,0.0,0.0
