N,dimension,lambda0_baseline,worst_in_grid,abs_change,degradation_normalized_0_100,corr_with_liquidity
50,Duration abs. diff (yrs),0.01,0.299,0.289,96.7,0.424
50,Rating L1 mismatch (pp),0.186,4.056,3.87,95.4,0.284
50,YTM abs. diff (pp),0.0421,0.1224,0.0803,65.6,0.262
50,Maturity L1 mismatch (pp),5.54,12.527,6.987,56.2,0.157
50,Sector L1 mismatch (pp),14.591,17.998,3.407,19.7,0.157
50,Issuer HHI,267.1,296.4,29.3,17.5,0.43
50,Top-10 issuer weight (%),30.0,30.0,0.0,0.0,
100,Rating L1 mismatch (pp),0.0,2.594,2.594,64.0,0.453
100,Top-10 issuer weight (%),25.34,30.01,4.67,56.5,0.955
100,Issuer HHI,180.4,270.8,90.4,53.9,0.814
100,Sector L1 mismatch (pp),2.631,11.943,9.312,53.7,0.575
100,YTM abs. diff (pp),0.0,0.0556,0.0556,45.4,0.722
100,Maturity L1 mismatch (pp),0.1,3.192,3.092,24.9,0.423
100,Duration abs. diff (yrs),0.0,0.06,0.06,20.1,0.683
200,Top-10 issuer weight (%),21.74,30.01,8.27,100.0,0.989
200,Issuer HHI,128.6,245.5,116.9,69.7,0.965
200,Sector L1 mismatch (pp),0.669,11.384,10.715,61.8,0.495
200,YTM abs. diff (pp),0.0,0.0635,0.0635,51.9,0.583
200,Rating L1 mismatch (pp),0.0,1.696,1.696,41.8,0.454
200,Duration abs. diff (yrs),0.0,0.05,0.05,16.7,0.36
200,Maturity L1 mismatch (pp),0.1,1.151,1.051,8.5,0.391
