optimised_on,target_n,lambda_liq,wavg_par_score,wavg_trace_score,imputed_weight_share,sector_L1_pp,rating_L1_pp,maturity_L1_pp,duration_diff,ytm,ytm_diff_pp,top10_issuer_pct,issuer_hhi
par,50,0.0,0.8771431670569416,0.6695314823345818,0.19568656967072207,14.591,0.186,5.54,0.01,5.5634,0.0421,30.0,267.1
par,50,0.0025,0.9078238991532015,0.6912297440479147,0.26852493148284945,14.893,1.844,5.986,0.019,5.6111,0.0057,30.0,281.5
par,50,0.005,0.9093592941724604,0.6931856560432802,0.25768894711959284,10.162,0.006,2.075,0.014,5.6025,0.0029,30.0,267.1
par,50,0.0075,0.9078167034342574,0.7040648050813265,0.2229188652547561,16.209,0.376,7.637,0.147,5.582,0.0235,30.0,293.0
par,50,0.01,0.906661525075531,0.691246974378928,0.2359008515055665,10.162,0.026,2.075,0.072,5.6,0.0054,30.0,259.9
par,50,0.015,0.9105520128493744,0.6947946698444222,0.2480516618222759,12.264,0.022,2.062,0.008,5.6124,0.007,30.01,267.0
par,50,0.02,0.9106329035565102,0.6947642499982458,0.25142675058697905,12.266,0.028,2.075,0.009,5.6132,0.0078,30.0,267.4
par,50,0.025,0.9109653600767714,0.6944366894790532,0.2360020204524152,12.266,0.025,2.075,0.025,5.6172,0.0117,30.0,265.3
par,50,0.03,0.9101659951512364,0.6846646955061625,0.2682740189076379,12.266,0.071,2.591,0.013,5.6415,0.0361,30.0,276.3
par,50,0.04,0.9082847384384998,0.6861286787423214,0.2611507131034113,12.487,0.696,3.114,0.052,5.6169,0.0115,30.0,267.2
par,50,0.05,0.9125205036626217,0.6930879196022526,0.26434309844656684,14.591,0.925,12.527,0.098,5.6151,0.0097,30.0,295.3
par,50,0.06,0.9083678590096382,0.6862845550503924,0.2608765582467475,12.487,0.695,3.114,0.053,5.6169,0.0115,30.0,267.0
par,50,0.075,0.9126456073965965,0.6932617972267402,0.2643828690352374,14.591,0.933,11.727,0.103,5.6143,0.0088,30.0,295.3
par,50,0.09,0.9130451984383404,0.6926306100660261,0.25418413538565365,12.266,0.105,2.075,0.019,5.6384,0.033,30.0,264.2
par,50,0.1,0.9130758102138075,0.6924991957122925,0.25539915958855963,12.266,0.117,2.075,0.019,5.6389,0.0334,30.0,264.2
par,50,0.125,0.9122074602294948,0.6934843946461555,0.24374545465555064,14.591,0.233,4.475,0.127,5.6205,0.0151,30.0,284.0
